size,loc
0.943359375,9
1.38671875,10
4.0146484375,22
0.548828125,7
1.02734375,10
1.728515625,11
0.73046875,6
0.421875,7
1.4990234375,12
1.6845703125,10
0.6279296875,6
1.85546875,16
1.5205078125,10
1.6083984375,14
2.83203125,23
0.9228515625,7
1.919921875,19
1.4755859375,11
1.017578125,14
0.8291015625,6
0.6201171875,7
0.6357421875,7
0.390625,5
1.1953125,12
1.962890625,10
0.33984375,6
0.798828125,11
0.22265625,6
2.7021484375,24
0.5751953125,6
0.6806640625,10
0.396484375,5
2.3251953125,15
0.8779296875,7
1.029296875,9
1.703125,12
1.3466796875,9
1.896484375,10
0.798828125,9
0.7431640625,6
1.9482421875,10
0.943359375,8
0.2451171875,6
1.2587890625,9
1.380859375,13
0.63671875,6
1.0869140625,9
1.00390625,7
0.5947265625,8
2.03515625,16
1.095703125,8
2.7421875,19
0.9619140625,11
0.341796875,5
1.8759765625,14
0.2626953125,5
0.2861328125,5
1.6015625,14
2.2431640625,16
1.0791015625,11
0.66796875,7
1.0048828125,10
0.29296875,6
2.3544921875,16
