size,loc
3.6953125,20
3.2998046875,25
2.345703125,22
0.9638671875,9
2.1201171875,17
0.9443359375,10
3.3681640625,29
0.7490234375,11
3.0908203125,17
2.7080078125,20
4.1787109375,33
0.46875,10
2.412109375,20
4.619140625,32
5.48828125,28
1.9296875,15
0.802734375,9
4.3671875,36
0.615234375,10
0.3388671875,7
1.1083984375,9
0.7548828125,11
1.279296875,11
2.3046875,19
0.951171875,13
0.5048828125,8
1.5859375,13
1.7822265625,16
1.388671875,12
1.8466796875,20
0.599609375,10
2.3134765625,15
2.859375,24
0.3681640625,8
0.7744140625,10
0.6171875,12
2.310546875,15
0.2294921875,7
0.564453125,11
1.1591796875,9
0.470703125,8
5.3798828125,34
1.0546875,11
3.1396484375,22
0.9912109375,15
2.62109375,20
4.5615234375,33
3.39453125,28
2.34765625,16
1.775390625,13
1.91796875,19
3.1259765625,21
2.314453125,18
3.6318359375,20
2.2275390625,15
0.548828125,9
1.408203125,13
2.9794921875,18
2.625,17
0.78515625,10
2.03125,15
5.3603515625,31
4.3408203125,32
0.58203125,10
1.533203125,16
1.3486328125,13
1.6513671875,14
1.9501953125,14
2.66796875,19
2.462890625,18
2.4521484375,19
3.955078125,29
1.5390625,12
0.6318359375,8
0.453125,8
1.3564453125,9
3.5126953125,27
2.5673828125,18
2.8896484375,26
1.6240234375,16
1.8984375,16
1.291015625,12
1.8515625,16
3.5908203125,22
1.013671875,12
0.9453125,9
4.2099609375,31
2.5361328125,15
2.9775390625,20
2.8818359375,24
2.8095703125,19
1.1591796875,12
1.6630859375,12
0.560546875,9
2.3515625,19
0.896484375,12
0.8232421875,12
0.6513671875,10
2.103515625,20
2.5712890625,17
3.83984375,26
0.24609375,7
2.361328125,17
2.5244140625,18
4.9443359375,19
1.6669921875,15
1.6884765625,12
2.5458984375,20
1.2275390625,15
2.0712890625,17
2.6259765625,24
1.4228515625,13
3.2412109375,24
2.037109375,15
1.6318359375,18
2.41796875,16
1.7314453125,11
0.2177734375,7
2.333984375,24
3.5712890625,22
3.1103515625,23
1.8232421875,15
2.888671875,24
4.3173828125,30
0.42578125,8
3.6708984375,26
1.9296875,14
3.3974609375,22
3.2841796875,23
4.39453125,28
1.076171875,7
0.3662109375,8
1.50390625,16
4.1767578125,28
4.7744140625,33
5.671875,32
1.119140625,12
1.2587890625,14
0.4482421875,7
1.466796875,11
3.375,23
0.57421875,10
2.087890625,17
0.298828125,8
2.8857421875,22
0.8515625,8
2.6787109375,20
0.5390625,10
