GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrInlineClassRepresentation.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrProperty,645,0,81,0,168,0,79,0,36,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrErrorExpression.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrComposite,387,0,32,0,100,0,50,0,33,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSetField.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFile.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrThrow.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSyntheticBody.Builder,170,0,16,0,51,0,23,0,15,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetField,369,0,34,0,101,0,48,0,30,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrInlineClassRepresentation.Builder,232,0,22,0,65,0,30,0,19,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrVarargElement.Builder,328,0,45,0,100,0,48,0,25,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetEnumValue,283,0,21,0,81,0,39,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrDeclarationBase.Builder,584,0,54,0,154,0,67,0,40,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSetField,463,0,49,0,124,0,58,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrEnumConstructorCall.Builder,289,0,30,0,80,0,36,0,21,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,ExpectToActual.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeAlias.Builder,504,0,48,0,137,0,58,0,34,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrReturn.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrCatch.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeOperator.new Internal.EnumLiteMap() {...},6,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,CommonIdSignature,652,0,66,0,161,0,72,0,36,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrComposite.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrValueParameter,479,0,50,0,126,0,61,0,34,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrPropertyReference.Builder,553,0,54,0,140,0,64,0,37,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrConst.ValueCase,168,0,12,0,30,0,15,0,4,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetValue,334,0,28,0,92,0,45,0,30,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrMultiFieldValueClassRepresentation,551,0,52,0,140,0,60,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrExpression.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FileLocalIdSignature,393,0,37,0,106,0,52,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrPropertyReference,581,0,64,0,148,0,73,0,38,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrStringConcat,336,0,25,0,89,0,44,0,31,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrLocalDelegatedPropertyReference.Builder,430,0,40,0,110,0,51,0,31,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrLocalDelegatedPropertyReference,495,0,51,0,128,0,64,0,36,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrDynamicOperatorExpression.Builder,513,0,50,0,140,0,59,0,34,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrBlockBody.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FileEntry,487,0,47,0,133,0,57,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrSetValue,428,0,43,0,115,0,55,0,32,0
JaCoCo Coverage Report,com.intellij.ui,IconManager,16,0,6,0,2,0,5,0,2,0
JaCoCo Coverage Report,com.intellij.ui,IconManagerHelper,7,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.intellij.ui,DummyIconManager,60,0,18,0,7,0,16,0,7,0
JaCoCo Coverage Report,com.intellij.ui,DummyIconManager.DummyIcon,15,0,0,0,6,0,6,0,6,0
JaCoCo Coverage Report,com.intellij.ui,DummyIconManager.DummyRowIcon,24,0,2,0,9,0,4,0,3,0
